store_id,market,week_start,category,units_sold,revenue_eur,stock_opening,promo_flag,data_source
ST1308,DE,2024-10-13,fashion,35,2710.74,55,0,ERP_v2
ST1131,DE,2024-03-17,lingerie,64,429.25,117,1,ERP_v2
ST0483,SK,2024-08-04,lingerie,19,340.47,58,0,MANUAL_UPLOAD
ST1048,PL,2024-05-19,fashion,40,186.71,35,1,API
ST1256,DE,2024-10-27,,76,452.3,180,1,ERP_v2
ST1068,DE,2024-09-29,home_textiles,102,1106.33,111,1,ERP_v2
ST0386,DE,2024-04-14,,62,413.25,18,0,MANUAL_UPLOAD
ST0919,DE,2024-09-01,fashion,27,681.13,183,0,ERP_v2
ST0481,PL,2024-04-28,home_textiles,28,414.02,96,0,ERP_v1
ST0078,PL,2024-01-28,home_textiles,24,1481.98,91,0,ERP_v2
ST0318,SK,2024-12-29,fashion,34,1597.87,317,0,ERP_v2
ST0143,AT,2024-08-04,,61,544.96,71,0,ERP_v2
ST0516,DE,2024-07-21,hard_goods,15,2528.46,78,0,ERP_v2
ST1236,PL,2024-07-28,fashion,20,766.36,62,0,ERP_v2
ST0325,CZ,2024-02-04,hard_goods,58,773.0,579,1,ERP_v2
ST1246,AT,2024-07-21,lingerie,29,150.3,93,0,MANUAL_UPLOAD
ST0486,CZ,2024-05-19,lingerie,38,522.48,221,0,MANUAL_UPLOAD
ST1479,AT,2024-03-03,home_textiles,55,647.86,230,0,ERP_v1
ST1132,AT,2024-09-15,,29,885.61,48,0,ERP_v2
ST0487,DE,2024-04-07,lingerie,16,361.11,171,0,ERP_v2
ST0370,DE,2024-11-03,hard_goods,121,304.64,65,0,ERP_v2
ST0630,DE,2024-05-05,fashion,45,2352.97,79,1,ERP_v2
ST0912,DE,2024-12-08,fashion,70,1290.23,48,0,ERP_v1
ST0393,PL,2024-04-28,fashion,27,2871.75,93,0,ERP_v2
ST0119,DE,2024-04-28,hard_goods,42,284.77,77,1,ERP_v2
ST0354,AT,2024-02-11,home_textiles,87,997.49,155,0,ERP_v1
ST0766,SK,2024-05-26,lingerie,43,599.33,63,0,ERP_v2
ST0957,DE,2024-11-17,lingerie,34,269.04,44,0,ERP_v1
ST1337,DE,2024-10-20,hard_goods,14,514.1,136,1,ERP_v2
ST1088,CZ,2024-03-10,fashion,6,196.29,189,0,MANUAL_UPLOAD
ST0258,DE,2024-11-03,hard_goods,143,384.14,148,1,MANUAL_UPLOAD
ST1030,DE,2024-07-14,hard_goods,33,1146.09,179,0,API
ST1341,DE,2024-09-15,,233,1989.02,89,0,ERP_v2
ST1442,DE,2024-11-10,,52,357.58,21,1,ERP_v2
ST0017,HU,2024-05-26,,20,2445.16,28,0,ERP_v2
ST0282,CZ,2024-01-07,home_textiles,29,119.05,153,0,API
ST1428,PL,2024-10-13,lingerie,117,943.38,75,1,ERP_v2
ST0553,SK,2024-01-28,home_textiles,103,505.67,48,0,API
ST0442,CZ,2024-09-15,,70,462.18,130,1,ERP_v2
ST0366,DE,2024-11-10,home_textiles,9,112.36,257,0,ERP_v2
ST1379,SK,2024-12-29,home_textiles,9,395.89,127,0,ERP_v2
ST0355,AT,2024-12-01,lingerie,93,388.9,331,1,ERP_v2
ST1334,CZ,2024-02-11,hard_goods,53,197.18,42,0,ERP_v2
ST1437,SK,2024-06-23,hard_goods,115,518.84,283,0,ERP_v2
ST0816,DE,2024-01-07,,31,676.54,33,0,ERP_v2
ST0998,DE,2024-09-08,home_textiles,15,761.17,18,1,ERP_v2
ST0232,DE,2024-10-20,home_textiles,42,373.6,55,0,ERP_v2
ST1485,DE,2024-09-01,hard_goods,47,633.35,95,1,ERP_v2
ST1114,CZ,2024-01-21,,17,1433.62,169,0,ERP_v2
ST1174,SK,2024-11-03,,12,1657.65,147,1,ERP_v2
ST1479,DE,2024-10-06,,56,1372.13,78,0,ERP_v2
ST0389,AT,2024-06-16,hard_goods,16,1385.18,104,0,ERP_v2
ST1332,DE,2024-06-09,fashion,165,754.34,159,0,ERP_v2
ST1281,DE,2024-06-30,lingerie,123,2029.19,77,1,ERP_v2
ST0374,DE,2024-02-04,fashion,61,936.5,150,0,MANUAL_UPLOAD
ST0192,DE,2024-08-25,,127,537.42,38,0,ERP_v2
ST1406,HU,2024-12-29,hard_goods,52,153.92,155,0,ERP_v2
ST1460,DE,2024-04-07,fashion,27,195.05,94,0,ERP_v2
ST0135,AT,2024-06-16,home_textiles,120,173.61,111,0,ERP_v2
ST0179,PL,2024-09-22,home_textiles,51,1104.36,170,0,API
ST1245,DE,2024-08-18,lingerie,23,302.33,82,0,ERP_v2
ST0222,SI,2024-04-28,,14,327.2,245,0,ERP_v2
ST0551,HU,2024-08-18,lingerie,19,467.6,69,0,ERP_v2
ST0556,DE,2024-11-03,hard_goods,83,278.48,123,1,ERP_v1
ST1337,AT,2024-11-03,,31,698.16,30,0,ERP_v2
ST0809,DE,2024-04-14,lingerie,137,158.14,18,0,ERP_v2
ST1319,DE,2024-09-01,home_textiles,55,1115.55,129,0,ERP_v2
ST0157,DE,2024-04-07,hard_goods,63,1029.07,153,1,MANUAL_UPLOAD
ST1476,PL,2024-01-07,fashion,19,552.8,32,0,ERP_v2
ST0003,AT,2024-11-17,hard_goods,23,381.53,16,0,ERP_v2
ST0201,DE,2024-04-07,home_textiles,11,838.06,121,0,ERP_v1
ST1413,DE,2024-09-22,hard_goods,18,1755.38,77,0,ERP_v2
ST1347,SK,2024-11-10,hard_goods,20,112.9,71,1,MANUAL_UPLOAD
ST0345,DE,2024-09-15,fashion,28,1122.3,94,0,ERP_v1
ST0416,DE,2024-03-24,home_textiles,161,545.12,129,0,ERP_v2
ST0097,AT,2024-09-01,hard_goods,21,414.75,169,0,ERP_v1
ST0621,SI,2024-08-11,,95,487.47,75,0,ERP_v1
ST0740,DE,2024-01-14,fashion,13,217.44,138,0,ERP_v2
ST0541,PL,2024-08-18,fashion,21,134.61,289,1,ERP_v1
ST1383,CZ,2024-05-05,lingerie,39,1143.87,82,0,ERP_v2
ST0879,DE,2024-11-24,,73,1135.3,42,0,ERP_v2
ST1133,PL,2024-04-21,hard_goods,33,694.39,80,0,ERP_v2
ST1474,DE,2024-06-23,lingerie,28,1538.96,74,0,ERP_v1
ST0523,PL,2024-06-30,,61,1687.37,90,0,ERP_v2
ST0955,PL,2024-02-04,fashion,38,1202.38,257,0,ERP_v1
ST0095,AT,2024-04-21,,10,-1413.68,185,1,MANUAL_UPLOAD
ST0132,DE,2024-11-03,hard_goods,115,1693.27,21,0,ERP_v2
ST0605,CZ,2024-04-21,,44,953.15,41,0,ERP_v1
ST0566,DE,2024-03-17,fashion,38,534.98,93,0,MANUAL_UPLOAD
ST1266,DE,2024-02-25,hard_goods,39,603.7,118,0,ERP_v1
ST1401,DE,2024-01-21,fashion,10,590.0,137,0,ERP_v1
ST1219,PL,2024-04-21,lingerie,10,258.26,259,1,ERP_v2
ST0258,PL,2024-02-18,fashion,142,1097.98,131,1,API
ST0846,DE,2024-07-14,home_textiles,25,556.99,212,0,ERP_v2
ST0304,AT,2024-01-14,hard_goods,31,1645.33,115,0,ERP_v2
ST0501,DE,2024-12-22,home_textiles,25,312.11,126,0,ERP_v1
ST0580,PL,2024-09-01,hard_goods,39,3338.99,150,0,ERP_v1
ST0190,DE,2024-08-04,lingerie,19,330.53,72,0,ERP_v2
ST0339,PL,2024-03-17,hard_goods,24,223.55,54,0,ERP_v2
ST0019,DE,2024-10-13,,28,913.3,97,0,ERP_v2
ST0415,HU,2024-03-17,,47,1620.87,163,0,MANUAL_UPLOAD
ST0062,DE,2024-01-07,hard_goods,54,684.75,153,0,ERP_v2
ST0911,DE,2024-07-28,fashion,32,732.68,89,0,ERP_v1
ST0067,DE,2024-07-28,fashion,7,438.68,188,0,MANUAL_UPLOAD
ST0723,,2024-08-18,hard_goods,72,314.23,122,1,ERP_v2
ST0854,SK,2024-03-24,hard_goods,55,601.82,47,0,ERP_v2
ST0175,DE,2024-03-10,,11,384.3,136,0,MANUAL_UPLOAD
ST1405,PL,2024-11-03,home_textiles,30,1338.47,93,0,ERP_v1
ST0519,CZ,2024-11-17,home_textiles,26,1777.84,176,0,ERP_v2
ST0964,AT,2024-10-27,fashion,82,279.95,121,0,ERP_v2
ST0897,AT,2024-01-28,,55,164.22,124,0,ERP_v2
ST0233,DE,2024-10-20,hard_goods,12,1892.92,53,0,API
ST0711,DE,2024-12-08,fashion,170,340.39,84,1,ERP_v2
ST0534,SK,2024-08-18,lingerie,33,228.24,416,0,ERP_v2
ST0741,SK,2024-09-22,,59,1294.69,19,0,ERP_v2
ST0825,PL,2024-08-04,,29,1158.6,40,1,ERP_v2
ST1374,DE,2024-08-04,home_textiles,16,1533.47,39,0,ERP_v2
ST0125,DE,2024-02-04,hard_goods,22,130.63,71,0,MANUAL_UPLOAD
ST0698,PL,2024-05-26,fashion,7,583.65,98,0,ERP_v2
ST1062,SK,2024-05-05,hard_goods,7,443.8,50,1,ERP_v2
ST0248,,2024-05-05,,26,-1383.3,97,0,MANUAL_UPLOAD
ST0141,CZ,2024-01-28,lingerie,19,704.37,89,0,ERP_v2
ST0097,PL,2024-12-15,,26,154.01,48,1,ERP_v2
ST1280,DE,2024-05-19,home_textiles,15,1392.05,30,0,MANUAL_UPLOAD
ST1378,DE,2024-05-19,home_textiles,205,380.26,72,0,ERP_v2
ST1012,,2024-12-01,hard_goods,43,960.62,133,0,ERP_v2
ST0475,PL,2024-07-14,home_textiles,34,332.57,137,0,MANUAL_UPLOAD
ST0816,DE,2024-11-24,home_textiles,96,298.96,35,1,ERP_v2
ST0808,DE,2024-03-31,,189,550.83,222,0,ERP_v2
ST0798,PL,2024-09-01,fashion,11,473.64,33,0,API
ST1392,DE,2024-05-05,,44,1694.04,183,0,ERP_v2
ST0535,DE,2024-08-18,lingerie,24,40.43,292,1,ERP_v2
ST0265,AT,2024-09-15,lingerie,52,806.48,71,0,ERP_v2
ST0672,PL,2024-09-08,fashion,38,749.52,115,0,ERP_v2
ST0305,PL,2024-03-03,,16,1465.22,62,1,ERP_v2
ST0429,DE,2024-06-30,hard_goods,73,1771.38,40,0,ERP_v2
ST0784,PL,2024-01-07,hard_goods,31,362.82,78,0,MANUAL_UPLOAD
ST1312,DE,2024-06-23,home_textiles,44,907.67,78,0,API
ST0793,DE,2024-06-16,home_textiles,65,621.94,69,0,ERP_v2
ST1317,PL,2024-07-28,,65,238.8,59,1,MANUAL_UPLOAD
ST0037,PL,2024-10-20,hard_goods,21,331.84,64,0,ERP_v2
ST0301,CZ,2024-03-24,home_textiles,26,802.63,110,0,ERP_v1
ST0136,PL,2024-11-03,,25,1175.91,97,0,ERP_v1
ST0488,AT,2024-04-14,lingerie,13,319.08,332,0,ERP_v2
ST1265,DE,2024-05-19,home_textiles,30,235.89,114,1,MANUAL_UPLOAD
ST0175,DE,2024-07-07,home_textiles,48,924.8,152,1,ERP_v1
ST0804,DE,2024-07-21,lingerie,15,348.23,245,0,ERP_v2
ST0630,DE,2024-01-14,hard_goods,35,256.28,139,0,ERP_v2
ST0985,SI,2024-04-14,home_textiles,71,355.3,106,0,ERP_v2
ST0338,DE,2024-09-01,fashion,79,2164.02,35,1,ERP_v2
ST0359,SK,2024-03-10,,8,1897.98,68,0,ERP_v2
ST0257,PL,2024-06-30,home_textiles,4,1592.74,62,0,ERP_v2
ST1018,CZ,2024-08-25,,29,2747.73,140,0,ERP_v2
ST1476,AT,2024-02-25,,23,870.05,380,1,ERP_v2
ST1242,PL,2024-01-07,,12,773.93,68,0,ERP_v2
ST0203,AT,2024-04-14,lingerie,26,246.38,40,0,ERP_v1
ST0655,DE,2024-01-28,,19,542.27,230,1,ERP_v2
ST0255,PL,2024-01-21,home_textiles,16,1094.38,71,0,ERP_v1
ST1120,DE,2024-11-10,lingerie,17,490.13,35,1,ERP_v2
ST1372,DE,2024-10-20,lingerie,33,349.7,47,0,ERP_v2
ST0131,PL,2024-01-14,fashion,5,1187.75,95,0,ERP_v2
ST0627,DE,2024-05-12,hard_goods,29,519.11,118,0,ERP_v2
ST0288,,2024-05-12,lingerie,326,760.78,157,0,ERP_v2
ST0660,HU,2024-11-17,home_textiles,63,1021.54,105,0,ERP_v2
ST0056,HU,2024-10-13,,23,103.11,13,0,API
ST0334,DE,2024-05-12,home_textiles,78,1224.47,527,0,API
ST0810,DE,2024-05-19,fashion,104,286.19,64,1,ERP_v2
ST0841,HU,2024-12-08,,41,803.3,71,1,ERP_v1
ST1208,DE,2024-09-15,lingerie,12,494.07,160,0,ERP_v2
ST0687,HU,2024-01-14,,17,250.5,158,0,ERP_v2
ST0664,HU,2024-06-23,,16,988.21,193,0,ERP_v2
ST0809,,2024-09-29,,9,212.46,65,1,ERP_v2
ST0004,DE,2024-06-02,fashion,75,959.01,70,1,ERP_v2
ST0435,DE,2024-08-25,lingerie,177,688.83,82,0,MANUAL_UPLOAD
ST0984,SK,2024-06-02,fashion,34,108.21,99,1,ERP_v2
ST0782,DE,2024-03-24,home_textiles,18,754.19,78,0,ERP_v2
ST1418,DE,2024-11-17,fashion,57,961.55,247,0,ERP_v2
ST1188,AT,2024-09-29,hard_goods,84,261.84,18,0,ERP_v2
ST0995,HU,2024-11-17,fashion,18,275.89,315,1,ERP_v1
ST1402,PL,2024-03-24,home_textiles,40,662.9,181,0,ERP_v1
ST0048,PL,2024-12-01,home_textiles,8,2789.89,135,0,ERP_v2
ST0601,DE,2024-11-17,hard_goods,36,202.78,104,1,ERP_v2
ST1356,PL,2024-08-04,home_textiles,14,2921.03,26,0,ERP_v2
ST0828,SI,2024-08-11,,42,480.6,120,1,ERP_v2
ST1180,DE,2024-09-08,hard_goods,21,1431.81,45,1,ERP_v2
ST0693,AT,2024-04-07,fashion,33,704.28,67,0,ERP_v2
ST1033,,2024-06-30,home_textiles,185,656.54,19,0,API
ST0152,PL,2024-07-14,,35,242.87,93,0,ERP_v2
ST0660,PL,2024-01-07,hard_goods,48,2365.31,149,0,ERP_v2
ST1498,PL,2024-03-10,fashion,28,145.45,75,1,ERP_v2
ST0965,DE,2024-06-09,,8,303.94,106,0,ERP_v2
ST0027,DE,2024-09-01,fashion,19,932.64,181,0,ERP_v1
ST0988,CZ,2024-04-14,hard_goods,21,3949.7,65,0,MANUAL_UPLOAD
ST0613,CZ,2024-11-10,hard_goods,52,779.04,18,0,ERP_v2
ST1223,SK,2024-02-25,hard_goods,45,1952.24,82,0,MANUAL_UPLOAD
ST0083,,2024-01-14,lingerie,42,807.14,24,0,MANUAL_UPLOAD
ST1078,AT,2024-05-19,hard_goods,67,604.08,180,0,ERP_v2
ST1167,AT,2024-10-13,hard_goods,13,2280.71,90,1,ERP_v1
ST1277,CZ,2024-10-27,hard_goods,170,302.65,64,0,ERP_v2
ST0097,PL,2024-07-21,lingerie,8,125.76,77,1,ERP_v2
ST0871,PL,2024-01-14,,11,953.97,98,0,ERP_v1
ST1459,CZ,2024-10-06,,44,2141.6,245,1,ERP_v2
ST1477,,2024-10-13,lingerie,13,1087.26,97,0,ERP_v2
ST0229,DE,2024-11-03,lingerie,34,628.85,64,0,ERP_v2
ST1019,DE,2024-12-22,,18,246.78,113,0,ERP_v2
ST1221,DE,2024-04-14,lingerie,49,974.78,120,0,API
ST1195,PL,2024-01-28,home_textiles,32,852.36,163,1,ERP_v1
ST0832,DE,2024-10-20,fashion,20,2889.72,70,0,ERP_v2
ST0514,AT,2024-03-31,,32,719.62,44,1,ERP_v2
ST1310,AT,2024-07-14,lingerie,167,61.5,69,0,ERP_v2
ST0497,DE,2024-10-06,,30,307.52,180,0,ERP_v2
ST0459,PL,2024-10-27,,10,5968.34,99,0,API
ST1057,DE,2024-09-15,hard_goods,7,373.61,68,0,ERP_v2
ST0777,DE,2024-05-26,fashion,19,373.81,80,0,ERP_v2
ST1404,CZ,2024-04-14,hard_goods,40,135.37,318,0,ERP_v2
ST1012,DE,2024-08-18,,106,676.47,51,0,API
ST0054,DE,2024-12-08,home_textiles,67,669.9,66,0,ERP_v2
ST0331,AT,2024-03-24,lingerie,17,418.32,229,0,MANUAL_UPLOAD
ST0097,CZ,2024-07-28,home_textiles,11,504.72,42,0,API
ST0505,DE,2024-01-28,home_textiles,28,963.1,25,0,ERP_v2
ST0148,PL,2024-09-29,,30,622.37,46,1,ERP_v1
ST0517,DE,2024-03-17,fashion,23,137.65,75,0,ERP_v2
ST0280,DE,2024-11-03,home_textiles,55,734.26,59,0,API
ST0416,AT,2024-07-07,,15,541.67,97,0,ERP_v2
ST1311,AT,2024-12-01,lingerie,28,873.86,137,1,ERP_v2
ST1130,PL,2024-05-05,,41,2014.17,186,1,MANUAL_UPLOAD
ST0556,PL,2024-04-07,hard_goods,9,1008.92,96,0,ERP_v2
ST0206,SI,2024-04-14,,42,2213.85,120,0,ERP_v2
ST1002,AT,2024-12-08,hard_goods,71,3064.32,96,0,ERP_v2
ST0118,DE,2024-08-25,,61,846.51,175,0,API
ST0480,CZ,2024-06-09,home_textiles,32,852.13,153,0,ERP_v1
ST0853,DE,2024-09-01,,13,980.14,68,0,ERP_v2
ST1395,DE,2024-02-04,hard_goods,191801,305.25,115,0,ERP_v1
ST0228,DE,2024-01-07,,27,357.67,71,1,ERP_v1
ST1305,DE,2024-06-30,,37,530.61,27,0,ERP_v2
ST1459,HU,2024-03-10,home_textiles,14,127.69,147,0,ERP_v1
ST1141,CZ,2024-04-14,,43,110.37,131,0,ERP_v2
ST0654,PL,2024-08-11,home_textiles,19,367.72,88,1,ERP_v2
ST0541,DE,2024-10-20,hard_goods,25,315.16,37,0,ERP_v1
ST1049,DE,2024-06-16,hard_goods,55,1177.99,111,0,ERP_v2
ST0087,DE,2024-09-08,,4,103.79,236,1,ERP_v2
ST1211,DE,2024-11-10,,31,616.71,43,1,ERP_v2
ST0612,AT,2024-04-21,lingerie,27,882.21,42,0,ERP_v2
ST0953,PL,2024-03-10,lingerie,14,1011.15,205,0,ERP_v2
ST1008,PL,2024-08-25,fashion,148,1436.26,530,0,ERP_v2
ST1279,DE,2024-10-06,hard_goods,14,435.87,40,0,ERP_v2
ST1420,HU,2024-04-07,hard_goods,61,766.19,34,1,ERP_v2
ST0178,PL,2024-02-04,hard_goods,57,531.49,24,0,ERP_v2
ST0140,AT,2024-05-05,,44,296.77,113,0,ERP_v2
ST1106,PL,2024-02-25,,13,325.63,175,1,ERP_v1
ST0432,DE,2024-08-04,home_textiles,59,169.76,88,0,ERP_v1
ST0946,DE,2024-11-03,home_textiles,18,734.57,156,0,MANUAL_UPLOAD
ST0531,DE,2024-05-05,,5,536.65,26,0,API
ST0368,CZ,2024-03-31,fashion,30,329.9,31,0,ERP_v2
ST0767,DE,2024-09-15,fashion,36,1379.52,168,1,ERP_v2
ST0053,DE,2024-03-17,,60,1035.57,293,0,ERP_v2
ST0547,DE,2024-01-21,hard_goods,18,1438.54,226,0,API
ST1393,DE,2024-04-21,,143,697.74,76,0,ERP_v2
ST0667,SK,2024-02-25,hard_goods,32,326.96,25,0,MANUAL_UPLOAD
ST0742,PL,2024-04-28,,70,348.64,89,0,ERP_v1
ST1075,AT,2024-09-22,home_textiles,57,1132.62,32,1,ERP_v1
ST1385,DE,2024-03-31,,48,210.45,58,1,ERP_v2
ST0915,AT,2024-12-08,hard_goods,85,452.23,189,0,ERP_v2
ST0043,AT,2024-09-01,hard_goods,27,860.71,310,0,ERP_v2
ST0527,DE,2024-11-10,lingerie,52,313.22,89,0,ERP_v2
ST0656,DE,2024-10-06,home_textiles,31,544.03,18,0,ERP_v2
ST0867,DE,2024-02-25,lingerie,30,253.61,167,1,API
ST1093,PL,2024-05-12,home_textiles,638569,416.07,96,0,ERP_v1
ST0085,PL,2024-10-20,fashion,31,3310.55,287,0,ERP_v2
ST1193,DE,2024-04-14,,98,188.76,111,0,MANUAL_UPLOAD
ST0985,DE,2024-02-18,home_textiles,56,1368.05,153,0,API
ST0030,PL,2024-12-15,lingerie,46,733.5,377,1,ERP_v2
ST1171,AT,2024-01-07,home_textiles,20,24.22,55,0,ERP_v2
ST0088,SK,2024-03-31,home_textiles,20,191.67,169,0,ERP_v2
ST1326,PL,2024-12-08,lingerie,18,367.04,70,0,ERP_v2
ST0828,DE,2024-05-12,hard_goods,93,305.93,171,0,ERP_v2
ST0591,DE,2024-01-14,hard_goods,65,497.0,126,1,ERP_v2
ST1048,PL,2024-06-02,home_textiles,9,642.24,122,0,MANUAL_UPLOAD
ST1444,DE,2024-02-25,home_textiles,71,3950.79,20,0,ERP_v2
ST0177,PL,2024-10-27,fashion,87,392.23,59,0,ERP_v2
ST1211,HU,2024-06-23,fashion,39,237.88,37,0,API
ST0782,PL,2024-06-30,lingerie,119,141.88,29,0,ERP_v2
ST1238,DE,2024-03-24,,14,394.28,67,0,ERP_v1
ST1319,PL,2024-01-21,home_textiles,39,135.56,224,0,ERP_v2
ST0688,AT,2024-05-26,,100,358.86,49,1,ERP_v1
ST0592,AT,2024-02-04,home_textiles,56,156.21,135,1,ERP_v1
ST0750,HU,2024-03-24,home_textiles,149,159.24,94,0,ERP_v2
ST1221,DE,2024-07-07,lingerie,19,1026.15,43,0,ERP_v1
ST0809,HU,2024-01-07,fashion,15,708.01,259,0,ERP_v2
ST0803,SK,2024-10-27,fashion,19,442.72,77,0,ERP_v1
ST0448,DE,2024-01-21,lingerie,26,743.69,31,1,MANUAL_UPLOAD
ST1205,DE,2024-12-29,home_textiles,192,405.99,179,0,API
ST0054,DE,2024-03-10,lingerie,19,946.25,172,1,ERP_v2
ST0165,DE,2024-03-31,hard_goods,27,357.59,41,0,MANUAL_UPLOAD
ST0436,DE,2024-05-12,lingerie,12,1348.8,213,0,ERP_v2
ST1280,PL,2024-08-04,fashion,20,665.04,72,1,ERP_v2
ST1322,DE,2024-03-31,home_textiles,37,1396.61,150,0,ERP_v2
ST1160,DE,2024-12-29,hard_goods,5,295.0,38,0,ERP_v2
